008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Amundsen, Roald, 1872-1928.",The South Pole [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00111.txt,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",My Tropic Isle [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00004.txt,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",Tropic Days [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00005.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",Confessions of a Beachcomber [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00056.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",By Reef and Palm and Other Stories [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00001.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",By Rock and Pool and Other Stories [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00002.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",The Naval Pioneers of Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00003.txt,00318nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Beetson, Joseph Livesley, 1859-1921.",Five Months an Anzac [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00006.txt,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Belt, Thomas, 1832-1878.",The Naturalist in Nicaragua [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00007.txt,00314nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Bligh, William, 1754-1817.",Voyage to the South Sea [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00041.html,00313nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Bligh, William, 1754-1817.",Narrative of the Mutiny on Board His Majesty's Ship Bounty [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00085.txt,00347nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",Robbery Under Arms [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00008.txt,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",Shearing in the Riverina [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00009.txt,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cambridge, Ada, 1844-1926.",Sisters [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00019.txt,00296nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Carboni, Raffaello, 1817-1875.",The Eureka Stockade [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00015.txt,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aCarnegie, David W. (David Wynford), 1871-1900.",Spinifex and Sand [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00042.html,00329nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clacy, Charles, Mrs.",A Lady's Visit to the Gold Diggings [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00017.txt,00318nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",For the Term of His Natural Life [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00016.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Collins, David, 1756-1810.",Account of the English Colony in NSW. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00010.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Collins, David, 1756-1810.",Account of the English Colony in NSW. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00011.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aFurphy, Joseph, 1843-1912.",Such is Life [electronic resource] / Tom Collins.,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00020.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cook, James, 1728-1779.","Captain Cook's Journal, First Voyage [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00043.html,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cook, James, 1728-1779.",A Voyage Towards the South Pole and Round the World. Volume 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00044.html,00349nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cook, James, 1728-1779.",A Voyage Towards the South Pole and Round the World. Volume 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00045.html,00349nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dampier, William, 1652-1715.",Voyage to New Holland [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00046.html,00313nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dampier, William, 1652-1715.",Comtinuation of a Voyage to New Holland [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00047.html,00331nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Rougemont, Louis de, 1847-1921.",The Adventures of Louis de Rougemont [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00012.txt,00330nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",The Songs of a Sentimental Bloke [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00018.txt,00338nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Digger Smith [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00057.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",A Book for Kids [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00061.html,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",The Glugs of Gosh [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00062.html,00324nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dunderdale, George, 1822-1903.",Book of the Bush [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00014.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.","Hello, Soldier! [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00103.txt,00303nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",In the Roaring Fifties [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00104.txt,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",The Gold-Stealers [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00105.txt,00305nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",The Missing Link [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00106.txt,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aEden, Charles H. (Charles Henry), 1839-1900.",Australian Search Party [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00013.txt,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Eyre, Edward John, 1815-1901.",Journals of Expeditions of Discovery into Central Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00048.html,00352nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Favenc, Ernest, 1845-1908.",The Explorers of Australia and their Life work [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00023.txt,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Flinders, Matthew, 1774-1814.",Voyage to Terra Australis. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00049.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Flinders, Matthew, 1774-1814.",Voyage to Terra Australis. Vol. 2 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00050.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Forrest, John, Sir, 1847-1918.",Explorations in Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00051.html,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Franklin, Miles, 1879-1954.",My Brilliant Career [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00092.txt,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gaunt, Mary, 1861-1942.",The Moving Finger [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00082.txt,00303nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Giles, Ernest, 1835-1897.",Australia Twice Traversed [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00052.html,00314nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gordon, Adam Lindsay, 1833-1870.",The Poems of Adam Lindsay Gordon [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00096.txt,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gregory, Augustus Charles, Sir, 1819-1905.",Journals of Australian Explorations [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00053.html,00342nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Grey, George, Sir, 1812-1898.",Journals of Two Expeditions of Discovery. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00054.html,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Grey, George, Sir, 1812-1898.",Journals of Two Expeditions of Discovery. Vol. 2 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00055.html,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hume, Fergus, 1859-1932.",The Mystery of a Hansom Cab [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00093.txt,00314nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hunter, John, 1737-1821.",Historical Journal of the Transactions at Port Jackson and Norfolk Island [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00063.html,00361nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Jardine, Frank, 1841-1919.",Narrative of an Overland Expedition [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00026.html,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kendall, Henry, 1839-1882.",The Poems of Henry Kendall [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00097.txt,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"King, Phillip Parker, 1791-1856.",Narrative of a Survey of the Intertropical and Western coasts. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00027.html,00366nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"King, Phillip Parker, 1791-1856.",Narrative of a Survey of the Intertropical and Western coasts. Vol. 2 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00028.html,00366nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kingsley, Henry, 1830-1876.",The Recollections of Geoffrey Hamlyn [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00099.txt,00326nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kitson, Arthur, 1860-1937.",The Life of Captain James Cook [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00088.txt,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Landor, E. W. (Edward Willson), 1811-1878.","The Bushman, Life in a New Country [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00064.html,00341nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Landsborough, William, 1825-1886.",Journal of Landsborough's Expedition [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00029.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lane, William, 1861-1917.",The Workingman's Paradise [electronic resource] : an Australian Labour Novel.,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00102.txt,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",In the Days when the World was Wide [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00024.txt,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Joe Wilson and his Mates [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00025.txt,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Over the Sliprails [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00079.txt,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",On the Track [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00080.txt,00300nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Children of the Bush [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00107.txt,00308nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",While the Billy Boils [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00108.txt,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lee, Ida, 1865-1943.",Logbooks of the Lady Nelson [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00066.html,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Leichhardt, Ludwig, 1813-1848.",Journal of an Overland Expedition in Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00030.html,00340nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Macgillivray, John, 1822-1867.","Narrative of the Voyage of H.M.S. Rattlesnake, 1846-50. Vol. 1 [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00031.html,00357nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"MacGillivray, John, 1822-1867.","Narrative of the Voyage of H.M.S. Rattlesnake, 1846-50. Vol. 2 [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00032.html,00357nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Mann, D. D. (David Dickenson), b. 1775?",The Present Picture of NSW [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00098.txt,00329nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"McKinlay, John, 1819-1872.",McKinlay's Journal of Exploration in the Interior of Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00033.txt,00351nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Mitchell, Thomas, Sir, 1792-1855.",Journal of an Expedition into the Interior of Tropical Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00034.html,00362nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Mitchell, Thomas, Sir, 1792-1855.",Three Expeditions into the Interior of Eastern Australia. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00035.html,00363nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Mitchell, Thomas, Sir, 1792-1855.",Three Expeditions into the Interior of Eastern Australia. Vol. 2 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00036.html,00363nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Muskett, Philip E. (Philip Edward).",The Art of Living in Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00091.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Oxley, John, 1783-1828.",Journals of Two Expeditions into the Interior of New South ales [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00037.txt,00349nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Parker, K. Langloh (Katie Langloh), 1856-1940.",Australian Legendary Tales [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00021.txt,00336nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Parker, K. Langloh (Katie Langloh), 1856-1940.",The Euahlayi Tribe [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00022.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",The Old Bush Songs [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00070.txt,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Saltbush Bill [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00071.txt,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Three Elephant Power [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00072.txt,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",The Man from Snowy River [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00073.txt,00331nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Rio Grande's Last Race [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00074.txt,00329nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",An Outback Marriage [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00109.txt,00326nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Pedley, Ethel, 1860-1898.",Dotand the Kangaroo [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00081.txt,00307nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Phillip, Arthur, 1738-1814.",The Voyage of Governor Phillip to Botany Bay [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00101.txt,00334nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Pinkerton, John, 1758-1826.",Early Australian Voyages [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00069.html,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.",Lady Bridget in the Never-Never Land [electronic resource] / Rosa Praed.,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00110.txt,00346nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",The Getting of Wisdom [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00086.txt,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",Maurice Guest [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00089.txt,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Rudd, Steele, 1868-1935.",On Our Selection [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00095.txt,00303nam  2200085ua 45e0
